10000104	NA	314		Henry	Aldrich			Henry Aldrich, Dean Aldrich	Henry Aldrich	Dean Aldrich								Aldrich, Henry	IN	1648	1648	IN	1710	1710	1648-1710	dean of Christ Church, Oxford	2234	1648	1789	NA	NA	NA
10000105	NA	315	Bishop	Robert	Aldrich		Bishop of Carlisle	Robert Aldrich, Robert Aldridge	Robert Aldrich	Robert Aldridge								Aldrich, Robert	IN	1488	1489	IN	1556	1556	1488/9-1556	bishop of Carlisle	1005	1507	1553	NA	NA	NA
10000106	NA	318		Tudur	Aled			Tudur Aled	Tudur Aled									Tudur Aled	CA	1465	1465	IN	1525	1527	c.1465-1525x7	Welsh poet	1385	1523	1773	NA	NA	NA
10000107	NA	377		John	Alen			John Alen	John Alen									Alen, John	IN	1476	1476	IN	1534	1534	1476-1534	archbishop of Dublin	1795	1502	1529	NA	NA	NA
10000108	NA	320		Alexander	Alesius			Alexander Alesius, Alexander Allane, Alexander Alan	Alexander Alesius	Alexander Allane	Alexander Alan							Alesius [Allane or Alan], Alexander	IN	1500	1500	IN	1565	1565	1500-1565	Lutheran theologian and reformer	4107	1500	1565	NA	NA	NA
10000109	NA	330		Helen	Alexander			Helen Alexander, Helen Umpherston, Helen Currie	Helen Alexander	Helen Umpherston	Helen Currie							Alexander [Umpherston, Currie], Helen	IN	1653	1654	IN	1729	1729	1653/4-1729	covenanter	683	1672	1683	NA	NA	NA
10000110	NA	68428		James	Alexander			James Alexander	James Alexander									Alexander, James	IN	1691	1691	IN	1756	1756	1691-1756	lawyer and politician	701	1691	1736	NA	NA	NA
10000111	NA	332		John	Alexander			John Alexander	John Alexander									Alexander, John	IN	1686	1686	IN	1743	1743	1686-1743	minister of the Presbyterian General Synod of Ulster	277	1686	1724	NA	NA	NA
10000112	NA	335		William	Alexander			William Alexander	William Alexander									Alexander, William	IN	1577	1577	IN	1640	1640	1577-1640	poet and politician	5561	1506	1810	NA	NA	NA
10000113	NA	65927		Pierre	Alexandre			Pierre Alexandre	Pierre Alexandre									Alexandre, Pierre	IN	1498	1498	IN	1563	1563	c.1498-1563	prior of Arras and theologian	571	1534	1563	NA	NA	NA
10000114	NA	339		Charles	Aleyn			Charles Aleyn	Charles Aleyn									Aleyn, Charles	AF	1530	NA	IN	1640	1640	d. 1640	poet	226	1616	1702	NA	NA	NA
10000115	NA	340		Thomas	Alfield			Thomas Alfield	Thomas Alfield									Alfield, Thomas	IN	1552	1552	IN	1585	1585	1552-1585	Roman Catholic priest and martyr	740	1514	1618	NA	NA	NA
10000116	NA	37106		Edward	Alford			Edward Alford	Edward Alford									Alford, Edward	IN	1565	1566	IN	1631	1632	1565/6-1631/2	politician	1544	1546	1632	NA	NA	NA
10000117	NA	37107		Francis	Alford			Francis Alford	Francis Alford									Alford, Francis	IN	1530	1530	IN	1592	1592	c.1530-1592	civil lawyer and member of parliament	701	1546	1572	NA	NA	NA
10000118	NA	57433		Elizabeth	Alkin			Elizabeth Alkin	Elizabeth Alkin									Alkin, Elizabeth	CA	1600	1600	CA	1655	1655	c.1600-1655?	nurse and spy	802	1645	1651	NA	NA	NA
10000119	NA	353		Andrew	Allam			Andrew Allam	Andrew Allam									Allam, Andrew	IN	1655	1655	IN	1685	1685	bap. 1655, d. 1685	antiquary	409	1655	1687	NA	NA	NA
10000120	NA	363		Edward	Allde			Edward Allde, Edward Alldee	Edward Allde	Edward Alldee								Allde [Alldee], Edward	IN	1555	1563	IN	1627	1627	1555x63-1627	printer	654	1584	1621	NA	NA	NA
10000121	NA	364		John	Allde			John Allde	John Allde									Allde, John	BF/IN	1531	1531	IN	1584	1584	b. in or before 1531, d. 1584	printer and bookseller	252	1531	1584	NA	NA	NA
10000122	NA	366		Joseph	Alleine			Joseph Alleine	Joseph Alleine									Alleine, Joseph	IN	1634	1634	IN	1668	1668	bap. 1634, d. 1668	ejected minister and devotional writer	871	1634	1668	NA	NA	NA
10000123	NA	367		Richard	Alleine			Richard Alleine	Richard Alleine									Alleine, Richard	IN	1610	1611	IN	1681	1681	1610/11-1681	clergyman and ejected minister	674	1630	1669	NA	NA	NA
10000124	NA	67079		Theodosia	Alleine			Theodosia Alleine	Theodosia Alleine									Alleine, Theodosia	IN	1654	1654	IN	1677	1677	fl. 1654-1677	nonconformist writer	911	1634	1678	NA	NA	NA
10000125	NA	368		William	Alleine			William Alleine	William Alleine									Alleine, William	IN	1613	1614	IN	1677	1677	1613/14-1677	clergyman and ejected minister	476	1631	1669	NA	NA	NA
10000126	NA	370		Anthony	Allen			Anthony Allen	Anthony Allen									Allen, Anthony	IN	1685	1685	IN	1754	1754	1685-1754	barrister and antiquary	436	1685	1778	NA	NA	NA
10000127	NA	56843		Charles	Allen			Charles Allen	Charles Allen									Allen, Charles	IN	1685	1685	IN	1687	1687	fl. 1685-1687	writer on dentistry	517	1685	1824	NA	NA	NA
10000128	NA	372		Edmund	Allen			Edmund Allen	Edmund Allen									Allen, Edmund	CA	1510	1519	IN	1559	1559	1510s-1559	protestant reformer	971	1535	1551	NA	NA	NA
10000129	NA	37108		Elias	Allen			Elias Allen	Elias Allen									Allen, Elias	IN	1588	1588	IN	1653	1653	c.1588-1653	maker of mathematical instruments	605	1602	1638	NA	NA	NA
10000130	NA	37109		Francis	Allen			Francis Allen	Francis Allen									Allen, Francis	IN	1583	1583	IN	1658	1658	c.1583-1658	politician and regicide	843	1638	1660	NA	NA	NA
10000131	NA	57039		Hannah	Allen			Hannah Allen, Hannah Howse, Hannah Chapman	Hannah Allen	Hannah Howse	Hannah Chapman							Allen [Howse; Chapman], Hannah	IN	1632	1632	IN	1664	1664	fl. 1632-1664	bookseller	662	1619	1653	NA	NA	NA
10000132	NA	67078		Hannah	Allen			Hannah Allen, Hannah Archer	Hannah Allen	Hannah Archer								Allen [Archer], Hannah	CA	1638	1638	IN	1668	1708	c.1638-1668x1708	nonconformist writer	805	1650	1709	NA	NA	NA
10000133	NA	68011	Sir	John	Allen			John Allen	John Allen									Allen, Sir John	IN	1470	1470	IN	1544	1544	c.1470-1544	mayor of London	1059	1509	1541	NA	NA	NA
10000134	NA	378		John	Allen			John Allen	John Allen									Allen, John	IN	1596	1596	IN	1671	1671	c.1596-1671	minister in America	653	1613	1653	NA	NA	NA
